2023-06-02 10:47:59.017 [cluster-ClusterId{value='647a2b4c5492480f5e969be3', description='null'}-kaje-shard-00-02.5sjul.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary kaje-shard-00-02.5sjul.mongodb.net:27017 with max election id 7fffffff00000000000000b3 and max set version 7
2023-06-02 10:48:05.146 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3f9f3ec9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@74ee8d42, org.springframework.security.web.context.SecurityContextHolderFilter@6bed7d92, org.springframework.security.web.header.HeaderWriterFilter@205cb1a8, org.springframework.web.filter.CorsFilter@7ab227a8, org.springframework.security.web.authentication.logout.LogoutFilter@2111fdc9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7385014e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34030b06, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ae79a05, org.springframework.security.web.session.SessionManagementFilter@2c91b6c2, org.springframework.security.web.access.ExceptionTranslationFilter@1201fdda, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2b78aa42]
2023-06-02 10:48:06.225 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2023-06-02 10:48:06.396 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2023-06-02 10:48:06.420 [restartedMain] INFO  c.usuario.ApiUsuarioCrudApplication - Started ApiUsuarioCrudApplication in 23.779 seconds (process running for 25.9)
2023-06-02 10:48:09.318 [http-nio-8088-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-02 10:48:09.319 [http-nio-8088-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-02 10:48:09.322 [http-nio-8088-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-06-02 10:48:10.883 [http-nio-8088-exec-2] ERROR c.u.controller.UsuarioController - RequestException(status=422 UNPROCESSABLE_ENTITY, meta=Meta(transactionID=492a89a1-eeab-45f2-b193-4cebdb60262b, status=422 UNPROCESSABLE_ENTITY, statusCode=422, timestamp=2023-06-02T10:48:10.876201800, devMessage=null, message=[El Correo ya existe, El nombre de usuario ya existe, El numero de empleado ya existe]))
2023-06-02 10:48:10.930 [http-nio-8088-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [RequestException(status=422 UNPROCESSABLE_ENTITY, meta=Meta(transactionID=492a89a1-eeab-45f2-b193-4cebdb60262b, status=422 UNPROCESSABLE_ENTITY, statusCode=422, timestamp=2023-06-02T10:48:10.876201800, devMessage=null, message=[El Correo ya existe, El nombre de usuario ya existe, El numero de empleado ya existe]))]
2023-06-02 12:53:47.600 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-06-02 12:53:47.848 [SpringApplicationShutdownHook] WARN  o.s.b.f.s.DisposableBeanAdapter - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: La base de datos ya esta cerrada (para des-habilitar el cerrado automatico durante el shutdown de la VM, agregue ";DB_CLOSE_ON_EXIT=FALSE" a la URL de conexión)
Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-214]
2023-06-02 12:53:47.849 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-02 12:53:47.853 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-06-02 12:53:56.854 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-06-02 12:53:56.957 [restartedMain] INFO  c.usuario.ApiUsuarioCrudApplication - Starting ApiUsuarioCrudApplication using Java 17.0.5 with PID 32700 (C:\Users\jesus.lizarragav\Desktop\Doc Evaluacion Sr\CRUD USUARIO\api-usuario-crud\target\classes started by jesus.lizarragav in C:\Users\jesus.lizarragav\Desktop\Doc Evaluacion Sr\CRUD USUARIO\api-usuario-crud)
2023-06-02 12:53:56.959 [restartedMain] INFO  c.usuario.ApiUsuarioCrudApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-02 12:53:57.066 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-02 12:53:57.066 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-02 12:53:59.043 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-02 12:53:59.047 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-02 12:53:59.147 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.usuario.repository.CorreoRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: jakarta.persistence.Entity, jakarta.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2023-06-02 12:53:59.159 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.usuario.repository.UsuarioRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: jakarta.persistence.Entity, jakarta.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2023-06-02 12:53:59.160 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 89 ms. Found 0 JPA repository interfaces.
2023-06-02 12:53:59.237 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-02 12:53:59.238 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-06-02 12:53:59.305 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 66 ms. Found 2 MongoDB repository interfaces.
2023-06-02 12:54:00.094 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-02 12:54:00.159 [restartedMain] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2023-06-02 12:54:02.229 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2023-06-02 12:54:02.248 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2023-06-02 12:54:02.249 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-02 12:54:02.250 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-02 12:54:02.412 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-02 12:54:02.416 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5346 ms
2023-06-02 12:54:02.471 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-02 12:54:02.944 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:ca7ad518-5a88-4284-ae27-23363db54cff user=SA
2023-06-02 12:54:02.948 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-02 12:54:02.992 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:ca7ad518-5a88-4284-ae27-23363db54cff'
2023-06-02 12:54:03.329 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-06-02 12:54:03.492 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
2023-06-02 12:54:03.495 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-06-02 12:54:03.870 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-06-02 12:54:04.195 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-06-02 12:54:04.318 [restartedMain] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.H2Dialect, version: 2.1.214
2023-06-02 12:54:04.485 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-06-02 12:54:04.936 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-06-02 12:54:04.947 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-06-02 12:54:05.355 [restartedMain] WARN  org.mongodb.driver.uri - Connection string contains unsupported option 'db_close_on_exit'.
2023-06-02 12:54:05.446 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.5+9-LTS-191"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='yissusks', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3a85e09f, com.mongodb.Jep395RecordCodecProvider@4fc29bf8]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=kaje.5sjul.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-gebfb0-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-06-02 12:54:05.457 [restartedMain] WARN  org.mongodb.driver.uri - Connection string contains unsupported option 'db_close_on_exit'.
2023-06-02 12:54:05.534 [cluster-ClusterId{value='647a48dd89a8557ba1aa104e', description='null'}-srv-kaje.5sjul.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server kaje-shard-00-01.5sjul.mongodb.net:27017 to client view of cluster
2023-06-02 12:54:05.591 [cluster-ClusterId{value='647a48dd89a8557ba1aa104e', description='null'}-srv-kaje.5sjul.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server kaje-shard-00-02.5sjul.mongodb.net:27017 to client view of cluster
